id,ww,ep,ew,rew,ab,difab
26.0,5232.94,2.938,112.8,-4.666,5.824,
26.0,5242.49,3.63,28.9,-5.259,5.901,
26.0,5263.31,3.27,49.0,-5.031,5.788,
26.0,5266.555,2.996,94.4,-4.747,5.853,
26.0,5283.621,3.239,76.4,-4.84,5.755,
26.0,5307.36,1.61,35.1,-5.18,6.003,
26.0,5324.18,3.21,96.5,-4.742,5.72,
26.0,5332.9,1.56,42.6,-5.098,5.861,
26.0,5339.93,3.27,62.9,-4.929,5.758,
26.0,5341.02,1.61,95.5,-4.748,5.923,
26.0,5383.369,4.309,71.2,-4.879,5.801,
26.0,5424.068,4.317,75.4,-4.857,5.856,
26.0,5554.9,4.55,20.4,-5.435,5.909,
26.0,5569.62,3.42,60.7,-4.963,5.754,
26.0,5586.76,3.37,87.8,-4.804,5.725,
26.0,5624.542,3.414,50.6,-5.046,5.834,
26.0,5662.516,4.175,25.3,-5.35,5.795,
26.0,5762.992,4.209,34.7,-5.22,5.964,
26.0,6065.482,2.607,55.9,-5.035,5.853,
26.0,6191.558,2.431,72.4,-4.932,5.988,
26.0,6219.28,2.2,33.2,-5.273,5.963,
26.0,6230.722,2.557,73.6,-4.928,5.813,
26.0,6246.32,3.6,38.9,-5.206,5.822,
26.0,6252.56,2.4,63.6,-4.993,5.904,
26.0,6265.134,2.174,28.3,-5.345,5.955,
26.0,6301.5,3.65,36.8,-5.234,5.776,
26.0,6336.82,3.69,31.4,-5.305,5.856,
26.0,6408.02,3.69,25.4,-5.402,5.871,
26.0,6411.65,3.65,48.6,-5.12,5.845,
26.0,6421.35,2.28,50.9,-5.101,5.926,
26.0,6430.846,2.174,59.1,-5.037,5.857,
26.0,6494.98,2.402,83.2,-4.892,5.78,
26.0,6677.985,2.69,60.7,-5.041,5.927,
26.0,7495.067,4.22,48.4,-5.19,5.893,
26.0,7511.021,4.175,61.4,-5.088,5.828,
26.0,8220.379,4.317,66.7,-5.091,5.821,
26.0,8688.624,2.174,125.1,-4.842,5.969,
26.1,4178.854,2.583,100.7,-4.618,5.991,
26.1,4233.163,2.583,133.5,-4.501,5.993,
26.1,4491.4,2.856,72.8,-4.79,5.922,
26.1,4515.334,2.844,88.4,-4.708,5.882,
26.1,4555.888,2.828,98.4,-4.666,5.942,
26.1,4576.328,2.844,59.5,-4.886,5.967,
26.1,4582.835,2.844,46.9,-4.99,5.917,
26.1,4583.829,2.807,130.1,-4.547,5.985,
26.1,4620.513,2.828,38.9,-5.075,5.904,
26.1,4629.332,2.807,95.1,-4.687,5.858,
26.1,4731.439,2.891,54.5,-4.939,6.115,
26.1,5197.568,3.23,86.1,-4.781,5.849,
26.1,5234.624,3.221,87.8,-4.775,6.052,
26.1,5275.997,3.199,101.0,-4.718,5.909,
26.1,5325.543,3.221,29.6,-5.255,6.164,
26.1,5534.839,3.245,53.9,-5.012,6.226,
26.1,6247.559,3.892,38.3,-5.213,6.108,
26.1,6432.677,2.891,26.9,-5.379,5.978,
26.1,6456.381,3.903,51.5,-5.098,6.125,
26.1,6516.077,2.891,40.3,-5.209,6.092,
